Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
26592031,10/30/2013 11:24:04 PM,10/31/2013 02:06:11 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10013,11 DOYERS STREET,DOYERS STREET,BEND,PELL STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 07:24:04 AM,10/31/2013 02:06:11 AM,03 MANHATTAN,MANHATTAN,984769,199589,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71450242561791,-73.99812784414995,"(40.71450242561791, -73.99812784414995)"
26592036,10/30/2013 11:23:20 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Mixed Use Building,11249,333 KENT AVENUE,KENT AVENUE,SOUTH 4 STREET,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,N/A,Pending,11/29/2013 11:23:20 PM,10/30/2013 11:25:36 PM,01 BROOKLYN,BROOKLYN,993267,199095,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71314193383838,-73.96747420978451,"(40.71314193383838, -73.96747420978451)"
26589784,10/30/2013 11:22:25 PM,10/31/2013 02:15:36 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11420,133-16 116 STREET,116 STREET,133 AVENUE,135 AVENUE,,,ADDRESS,SOUTH OZONE PARK,,Precinct,Closed,10/31/2013 07:22:25 AM,10/31/2013 12:43:47 AM,10 QUEENS,QUEENS,1033298,184361,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67256923374257,-73.82318337358244,"(40.67256923374257, -73.82318337358244)"
26595431,10/30/2013 11:22:00 PM,,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10003,210 EAST 15 STREET,EAST 15 STREET,3 AVENUE,RUTHERFORD PLACE,,,ADDRESS,NEW YORK,,N/A,Open,,,06 MANHATTAN,MANHATTAN,988088,206601,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73374784826663,-73.98615142682425,"(40.73374784826663, -73.98615142682425)"
26591037,10/30/2013 11:20:57 PM,10/31/2013 02:16:39 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11417,133-40 85 STREET,85 STREET,133 AVENUE,135 AVENUE,,,ADDRESS,OZONE PARK,,Precinct,Closed,10/31/2013 07:20:57 AM,10/31/2013 12:43:48 AM,10 QUEENS,QUEENS,1025545,184675,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67347065165803,-73.8511307325341,"(40.67347065165803, -73.8511307325341)"
26592954,10/30/2013 11:20:26 PM,10/31/2013 01:18:56 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11365,197-05A 65 CRESCENT,65 CRESCENT,BEND,67 AVENUE,,,ADDRESS,FRESH MEADOWS,,Precinct,Closed,10/31/2013 07:20:26 AM,10/31/2013 01:18:56 AM,08 QUEENS,QUEENS,1046083,208946,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73996897148448,-73.7768682381755,"(40.73996897148448, -73.7768682381755)"
26594850,10/30/2013 11:19:00 PM,,DOT,Department of Transportation,Traffic Signal Condition,Post,,10312,,,,,HYLAN BOULEVARD,ARDEN AVENUE,INTERSECTION,STATEN ISLAND,,N/A,Open,,,03 STATEN ISLAND,STATEN ISLAND,939396,132183,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.529373733559744,-74.16135093979543,"(40.529373733559744, -74.16135093979543)"
26590227,10/30/2013 11:18:31 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Mixed Use Building,11249,20 SOUTH 4 STREET,SOUTH 4 STREET,KENT AVENUE,WYTHE AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,11/29/2013 11:18:31 PM,10/30/2013 11:20:17 PM,01 BROOKLYN,BROOKLYN,993350,199125,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71322419170144,-73.96717477471884,"(40.71322419170144, -73.96717477471884)"
26590780,10/30/2013 11:18:00 PM,,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,11236,,,,,EAST 96 STREET,ST JUDE PLACE,INTERSECTION,BROOKLYN,,N/A,Open,,,18 BROOKLYN,BROOKLYN,1014643,170018,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.63328455805577,-73.89049865475536,"(40.63328455805577, -73.89049865475536)"
26592534,10/30/2013 11:17:49 PM,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10024,500 WEST END AVENUE,WEST END AVENUE,WEST 84 STREET,WEST 85 STREET,,,ADDRESS,NEW YORK,,N/A,Open,11/04/2013 11:17:49 PM,,07 MANHATTAN,MANHATTAN,990139,226242,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.78765622237079,-73.9787336422403,"(40.78765622237079, -73.9787336422403)"
26594760,10/30/2013 11:17:43 PM,10/31/2013 01:05:43 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,67 WALL STREET,WALL STREET,HANOVER STREET,PEARL STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 07:17:43 AM,10/31/2013 01:05:43 AM,01 MANHATTAN,MANHATTAN,981937,196400,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70574909022401,-74.00834244292587,"(40.70574909022401, -74.00834244292587)"
26590061,10/30/2013 11:16:45 PM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10466,2153 NEREID AVENUE,NEREID AVENUE,SETON AVENUE,MUNDY LANE,,,ADDRESS,BRONX,,Precinct,Open,10/31/2013 07:16:45 AM,,12 BRONX,BRONX,1028295,267373,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.90044076748922,-73.84067470473171,"(40.90044076748922, -73.84067470473171)"
26589210,10/30/2013 11:15:21 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Vacant Lot,11233,924 HERKIMER STREET,HERKIMER STREET,KANE PLACE,COLUMBUS PLACE,,,ADDRESS,BROOKLYN,,N/A,Pending,11/29/2013 11:15:21 PM,10/30/2013 11:23:24 PM,03 BROOKLYN,BROOKLYN,1005595,186365,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67817990006025,-73.9230454588185,"(40.67817990006025, -73.9230454588185)"
26590656,10/30/2013 11:15:05 PM,10/31/2013 01:22:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11218,597 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,LEWIS PLACE,MATTHEWS COURT,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/31/2013 07:15:05 AM,10/31/2013 01:22:02 AM,14 BROOKLYN,BROOKLYN,992638,173429,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.642695194214724,-73.9697750599414,"(40.642695194214724, -73.9697750599414)"
26595146,10/30/2013 11:15:00 PM,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11219,1531 54 STREET,54 STREET,15 AVENUE,16 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Open,,,12 BROOKLYN,BROOKLYN,987099,168502,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.62917514171465,-73.98973612204259,"(40.62917514171465, -73.98973612204259)"
26595918,10/30/2013 11:15:00 PM,,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,11432,82-11 172 STREET,172 STREET,82 AVENUE,GRAND CENTRAL PARKWAY,,,ADDRESS,Jamaica,,N/A,Open,,,08 QUEENS,QUEENS,1041240,201478,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.71950372818996,-73.79440796487808,"(40.71950372818996, -73.79440796487808)"
26593220,10/30/2013 11:14:15 PM,10/31/2013 01:28:20 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10012,2 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 07:14:15 AM,10/31/2013 01:28:20 AM,02 MANHATTAN,MANHATTAN,985916,201958,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.721004620274186,-73.99398975732854,"(40.721004620274186, -73.99398975732854)"
26593905,10/30/2013 11:12:13 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11249,337 KENT AVENUE,KENT AVENUE,SOUTH 4 STREET,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,N/A,Pending,11/29/2013 11:12:13 PM,10/30/2013 11:14:57 PM,01 BROOKLYN,BROOKLYN,993254,199059,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71304313566539,-73.96752115104931,"(40.71304313566539, -73.96752115104931)"
26595054,10/30/2013 11:11:51 PM,10/30/2013 11:59:02 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,8812 19TH AVENUE,19TH AVENUE,,,,,LATLONG,BROOKLYN,,Precinct,Closed,10/31/2013 07:11:51 AM,10/30/2013 11:59:02 PM,01 BROOKLYN,BROOKLYN,982853,158569,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.60191146016605,-74.00503081164801,"(40.60191146016605, -74.00503081164801)"
26590217,10/30/2013 11:11:28 PM,10/31/2013 01:29:28 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10003,24 EAST 11 STREET,EAST 11 STREET,5 AVENUE,UNIVERSITY PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 07:11:28 AM,10/31/2013 01:29:28 AM,02 MANHATTAN,MANHATTAN,985909,206542,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73358658490167,-73.99401388034954,"(40.73358658490167, -73.99401388034954)"
26590380,10/30/2013 11:10:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10013,20 GRAND STREET,GRAND STREET,MOTT STREET,ELIZABETH STREET,,,BLOCKFACE,NEW YORK,,N/A,Open,,,02 MANHATTAN,MANHATTAN,985334,201195,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.71891045951655,-73.99608949679325,"(40.71891045951655, -73.99608949679325)"
26592927,10/30/2013 11:08:12 PM,10/30/2013 11:27:44 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11212,2025 STRAUSS STREET,STRAUSS STREET,BLAKE AVENUE,DUMONT AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/31/2013 07:08:12 AM,10/30/2013 11:27:44 PM,16 BROOKLYN,BROOKLYN,1007778,181339,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66437912885589,-73.9151926966538,"(40.66437912885589, -73.9151926966538)"
26594132,10/30/2013 11:08:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10005,95 WALL STREET,WALL STREET,GOUVERNEUR LANE,WALL STREET,,,ADDRESS,NEW YORK,,N/A,Open,,,01 MANHATTAN,MANHATTAN,982205,196128,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.70500258030051,-74.00737574783014,"(40.70500258030051, -74.00737574783014)"
26589317,10/30/2013 11:07:45 PM,10/30/2013 11:24:27 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10011,258 WEST 15 STREET,WEST 15 STREET,7 AVENUE,8 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 07:07:45 AM,10/30/2013 11:24:27 PM,04 MANHATTAN,MANHATTAN,984031,208847,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73991339303542,-74.00079028612932,"(40.73991339303542, -74.00079028612932)"
26594802,10/30/2013 11:06:44 PM,10/30/2013 11:07:39 PM,DHS,Operations Unit - Department of Homeless Services,Homeless Person Assistance,Status Call,,10022,200-280 E 57TH ST,E 57TH ST,,,,,LATLONG,NEW YORK,,N/A,Closed,10/31/2013 01:06:44 AM,,06 MANHATTAN,MANHATTAN,993655,216030,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75962391660328,-73.96605095571597,"(40.75962391660328, -73.96605095571597)"
26590869,10/30/2013 11:03:01 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10459,1150 INTERVALE AVENUE,INTERVALE AVENUE,KELLY STREET,EAST 169 STREET,,,ADDRESS,BRONX,,N/A,Pending,11/29/2013 11:03:01 PM,10/30/2013 11:12:48 PM,02 BRONX,BRONX,1013053,240762,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82746460672067,-73.89592435019786,"(40.82746460672067, -73.89592435019786)"
26594846,10/30/2013 11:03:00 PM,,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,11232,,,,,3 AVENUE,32 STREET,INTERSECTION,BROOKLYN,,N/A,Open,,,07 BROOKLYN,BROOKLYN,983112,178915,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.65775697163311,-74.00410154351405,"(40.65775697163311, -74.00410154351405)"
26590190,10/30/2013 11:02:01 PM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,11040,76-29 269 STREET,269 STREET,76 AVENUE,77 AVENUE,,,ADDRESS,NEW HYDE PARK,,N/A,Open,,,13 QUEENS,QUEENS,1065458,213501,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,La Guardia Airport,,,,,,,,40.752314550063666,-73.7068966978709,"(40.752314550063666, -73.7068966978709)"
26592551,10/30/2013 11:01:49 PM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11379,77-15 58 AVENUE,58 AVENUE,77 PLACE,78 STREET,,,ADDRESS,MIDDLE VILLAGE,,Precinct,Assigned,10/31/2013 07:01:49 AM,10/30/2013 11:12:46 PM,05 QUEENS,QUEENS,1016525,204030,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.726633034808366,-73.8835552085296,"(40.726633034808366, -73.8835552085296)"
26590203,10/30/2013 11:01:38 PM,10/30/2013 11:56:57 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10032,128 AUDUBON AVENUE,AUDUBON AVENUE,WEST 171 STREET,WEST 172 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 07:01:38 AM,10/30/2013 11:56:57 PM,12 MANHATTAN,MANHATTAN,1001738,246283,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8426478040345,-73.93679512195254,"(40.8426478040345, -73.93679512195254)"
26593762,10/30/2013 11:00:56 PM,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11379,83-32 PENELOPE AVENUE,PENELOPE AVENUE,83 PLACE,84 STREET,,,ADDRESS,MIDDLE VILLAGE,,N/A,Open,11/29/2013 11:00:56 PM,,05 QUEENS,QUEENS,1020148,202106,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72133816582977,-73.87049408784742,"(40.72133816582977, -73.87049408784742)"
26594771,10/30/2013 11:00:35 PM,10/30/2013 11:14:55 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11226,1054 ROGERS AVE,ROGERS AVE,,,,,LATLONG,BROOKLYN,,Precinct,Closed,10/31/2013 07:00:35 AM,10/30/2013 11:14:55 PM,01 BROOKLYN,BROOKLYN,997542,174127,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.64460505163214,-73.95210283562616,"(40.64460505163214, -73.95210283562616)"
26595073,10/30/2013 10:59:00 PM,,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11212,518 THOMAS BOYLAND STREET,THOMAS BOYLAND STREET,PITKIN AVENUE,SUTTER AVENUE,,,ADDRESS,BROOKLYN,,N/A,Open,,,16 BROOKLYN,BROOKLYN,1008314,182678,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.668052943891745,-73.9132558921569,"(40.668052943891745, -73.9132558921569)"
26591325,10/30/2013 10:59:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10281,200 LIBERTY STREET,LIBERTY STREET,BEND,SOUTH END AVENUE,,,ADDRESS,NEW YORK,,N/A,Open,,,01 MANHATTAN,MANHATTAN,979969,198468,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.71142452729361,-74.01544186734169,"(40.71142452729361, -74.01544186734169)"
26594822,10/30/2013 10:58:05 PM,,DOT,Department of Transportation,Sidewalk Condition,Blocked - Construction,Sidewalk,11235,NOSTRAND AVENUE,NOSTRAND AVENUE,AVENUE Y,AVENUE Z,,,BLOCKFACE,BROOKLYN,,N/A,Open,11/09/2013 10:58:05 PM,,15 BROOKLYN,BROOKLYN,1000914,154462,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.59062301886094,-73.94000051523547,"(40.59062301886094, -73.94000051523547)"
26593483,10/30/2013 10:56:50 PM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11102,4-10 27 AVENUE,27 AVENUE,4 STREET,8 STREET,,,ADDRESS,ASTORIA,,Precinct,Assigned,10/31/2013 06:56:50 AM,10/31/2013 12:44:51 AM,01 QUEENS,QUEENS,1002725,221517,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77467000453749,-73.93329608172101,"(40.77467000453749, -73.93329608172101)"
26590422,10/30/2013 10:54:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10019,,,,,6 AVENUE,WEST 55 STREET,INTERSECTION,NEW YORK,,N/A,Open,,,05 MANHATTAN,MANHATTAN,990306,217268,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.76302483675119,-73.97813865951915,"(40.76302483675119, -73.97813865951915)"
26591621,10/30/2013 10:51:42 PM,10/30/2013 11:07:38 PM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11208,436 AMBER STREET,AMBER STREET,LORING AVENUE,STANLEY AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/31/2013 06:51:42 AM,10/30/2013 11:07:38 PM,05 BROOKLYN,BROOKLYN,1023741,182630,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66786582280785,-73.85764615606202,"(40.66786582280785, -73.85764615606202)"
26590216,10/30/2013 10:50:21 PM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10012,,,,,MACDOUGAL STREET,BLEECKER STREET,INTERSECTION,NEW YORK,,N/A,Open,,,02 MANHATTAN,MANHATTAN,983920,204932,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,Other,,,,,,,,40.72916767899508,-74.00119065008408,"(40.72916767899508, -74.00119065008408)"
26591044,10/30/2013 10:50:12 PM,10/31/2013 02:56:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003,56 IRVING PLACE,IRVING PLACE,EAST 17 STREET,EAST 18 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 06:50:12 AM,10/31/2013 02:55:49 AM,06 MANHATTAN,MANHATTAN,987793,207457,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73609748034625,-73.98721541820298,"(40.73609748034625, -73.98721541820298)"
26589128,10/30/2013 10:49:31 PM,,DSNY,Department of Sanitation,Graffiti,Graffiti,Residential,10024,23 WEST 83 STREET,WEST 83 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,,,ADDRESS,NEW YORK,,N/A,Open,,10/30/2013 10:49:31 PM,07 MANHATTAN,MANHATTAN,992108,224807,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.78371599920042,-73.97162486816899,"(40.78371599920042, -73.97162486816899)"
26589487,10/30/2013 10:49:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10001,50 WEST   34 STREET,WEST   34 STREET,10 AVENUE,11 AVENUE,,,BLOCKFACE,NEW YORK,,N/A,Open,,,04 MANHATTAN,MANHATTAN,984093,214410,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.75518243100889,-74.0005666820235,"(40.75518243100889, -74.0005666820235)"
26595898,10/30/2013 10:49:00 PM,,DEP,Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),,10001,17 WEST 32 STREET,WEST 32 STREET,5 AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Open,,,05 MANHATTAN,MANHATTAN,988074,211597,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.747460631838564,-73.9861991025855,"(40.747460631838564, -73.9861991025855)"
26594039,10/30/2013 10:49:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10009,60 EAST   12 STREET,EAST   12 STREET,AVENUE B,AVENUE C,,,BLOCKFACE,NEW YORK,,N/A,Open,,,03 MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
26589363,10/30/2013 10:49:00 PM,,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,11213,,,,,TROY AVENUE,CARROLL STREET,INTERSECTION,BROOKLYN,,N/A,Open,,,09 BROOKLYN,BROOKLYN,1001753,182080,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.66642696944012,-73.93690803724391,"(40.66642696944012, -73.93690803724391)"
26591246,10/30/2013 10:48:00 PM,,DEP,Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),,10001,10 WEST 31 STREET,WEST 31 STREET,5 AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Open,,,05 MANHATTAN,MANHATTAN,987960,211358,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.74680468544432,-73.98661066284879,"(40.74680468544432, -73.98661066284879)"
26590992,10/30/2013 10:48:00 PM,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10472,,,,,STRATFORD AVENUE,WESTCHESTER AVENUE,INTERSECTION,BRONX,,N/A,Open,,,09 BRONX,BRONX,1018703,241414,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.82923392664246,-73.8755055349958,"(40.82923392664246, -73.8755055349958)"
